,LGBMRegressor_RMSE_0,LGBMRegressor_RMSE_1,LGBMRegressor_RMSE_2,LGBMRegressor_RMSE_3,LGBMRegressor_RMSE_4,LGBMRegressor_RMSE_5,LGBMRegressor_RMSE_6,LGBMRegressor_RMSE_7,LGBMRegressor_RMSE_8,LGBMRegressor_RMSE_9
window_1_0,187.14846535248236,151.4172941901339,153.7135397973567,177.4822140235888,150.84456404926652,118.96475774015192,172.79543886336143,138.05577477654614,153.03764060533027,154.45160294002235
window_1_1,231.41564904464258,141.40989278330073,91.4281782207226,133.9434113943106,223.19814870472712,247.0792578351249,200.16159826697543,222.36784381666217,231.8103202698977,137.01498702982045
window_1_2,279.2767337932286,253.00652723971635,182.6184501067871,180.25266050207995,207.6511181504919,201.77259542721328,247.38646197265462,119.23001356606346,182.50496180331126,163.93430047733747
window_1_3,319.1673025713004,259.029066887039,242.19177895255868,192.48005377054383,205.4800511273043,194.62623625913588,206.78032238281162,165.7764301389865,178.3972859514323,248.93991725433247
window_1_4,330.47961484778773,323.61883049638266,267.5313649285938,309.9183763717485,200.00574357563363,167.39714361790342,175.72113881454445,212.96623052189634,204.17589084496157,203.39745531880538
window_1_5,188.3236630315868,187.28223098715674,122.84278063495275,174.46284489401728,122.4017595526591,198.46413388584742,120.85821302379935,125.33695119410567,176.5925062881478,141.4189375641647
window_1_6,274.4431930459814,119.9843572260856,184.37473051866328,186.66998984252442,130.76750364065637,16.682500385913816,224.2272788987538,162.80146399774864,148.81906597358832,273.4724463129454
window_1_7,252.97689871326492,247.56661228576252,223.53292716492516,201.61597048521585,232.7316228721749,137.53267097463106,89.46372286551144,172.37412293085748,199.34106667992097,236.97990542952326
window_1_8,218.16172632041722,281.86267054241694,272.33512743371415,166.328771022046,192.1066887255713,109.98855981810784,156.67995508583826,217.8750262067924,212.0000161190941,242.2153129198987
window_1_9,291.367196109349,244.33876724920876,236.6166420764838,176.01843485438962,256.8426778188906,162.86068579125876,211.50814916723974,198.67883305461368,173.14352723228842,199.7405173216586
