,LGBMRegressor_RMSE_0,LGBMRegressor_RMSE_1,LGBMRegressor_RMSE_2,LGBMRegressor_RMSE_3,LGBMRegressor_RMSE_4,LGBMRegressor_RMSE_5,LGBMRegressor_RMSE_6,LGBMRegressor_RMSE_7,LGBMRegressor_RMSE_8,LGBMRegressor_RMSE_9,average
window_1_0,66.84364384132088,51.77050289832931,53.75218733142651,59.439887431262036,53.452275227519245,38.52014125565416,66.97006189106341,63.656523578297374,44.46764828610947,45.00400864801548,54.38768803889979
window_1_1,99.2872726998418,64.43007956479731,41.08396721429675,50.04410881304664,67.7460504570022,65.61930665722278,70.63077948752301,62.62522566302021,53.14838012898418,39.018428292934175,61.36335989786689
window_1_2,86.44669514052254,72.16586849534839,40.68652595041247,50.60883296410692,62.60037555461404,56.93873438169696,64.73753583383979,34.919920064099756,50.13659876329661,49.177742415545254,56.84188295634828
window_1_3,108.72185076287366,85.195461257691,94.01382240645454,51.64853202601487,57.522234784137275,48.85849657673766,50.17695083323074,47.90489989155473,60.2254972967081,77.7755023310556,68.20432481664581
window_1_4,109.69450665568435,87.95477137046599,74.91300505699427,83.71102595736133,51.95751248504411,48.149593175534456,44.500598408999046,58.00485541970253,50.80417508936194,64.51547570765457,67.42055193268025
window_1_5,72.23465253540554,67.09712578909931,48.71389039302476,53.63218384670539,41.09447818958224,77.18262099505733,38.50757726865054,50.232458917287765,56.61553968714889,41.49425032168381,54.68047779436456
window_1_6,122.13564036165532,51.90416024416537,58.20259732985878,74.23517107118687,52.55274313201618,8.204107865900781,76.64242305943088,36.10704225152793,43.66296889235435,77.21771110463843,60.086456531273484
window_1_7,73.18061950570824,72.03058221521653,73.13844470271654,60.5288693360567,72.50444532485463,44.89579887055737,34.60255908519677,46.10603235444848,51.86141646617307,61.6821819554994,59.053094981642765
window_1_8,79.38310121266849,92.6950416349368,82.9244896422576,49.20174691685731,43.91550695767682,35.200581441683774,46.03288466458159,65.87787906599551,60.566089852205316,68.99908111374388,62.4796402502607
window_1_9,77.13826674224403,61.6013840714776,72.83250112073897,45.819205597789235,60.22941190854055,45.21373875322613,67.64605536309368,49.358674771744205,52.790254823978856,57.980303502285174,59.06097966551184
