,MAE,RMSE,MAPE,sMAPE,MASE,MASE1,MEAN_ASE
window_1_0,132.30020713166735,242.05455808201947,172.31172505823997,56.565737735470826,0.5562909191998735,415.15662,0.4488061406207029
window_1_1,137.0920958229942,282.10844402271573,159.68228526693773,51.1920329295411,0.6806876241140641,157.75452,0.45891545296741243
window_1_2,171.12504934665554,322.67786061498657,167.69780484151926,60.49772200056399,0.5527086152244705,-119.18776,0.5259170834720395
window_1_3,188.44991738099992,337.46067218924867,133.54574606126772,59.234443500173576,0.4824716720570837,86.28086,0.4898837288433433
window_1_4,188.46628929351485,352.9281071479878,385.100991118003,69.44045135392874,0.6293657994672368,264.91807,0.6532162068139825
window_1_5,141.09550702728674,264.86231715574644,175.25444905980834,56.880953039589336,0.46472312833067114,41.78026,0.4699312192636537
window_1_6,144.277155357978,278.4809094244047,656.2162619861955,57.41855184983163,0.4968374823553734,97.93734,0.5040685890003836
window_1_7,157.73390460719529,304.01782624377006,130.2607880858695,53.753765512778386,0.5143560616281049,19.36061,0.43439819168366434
window_1_8,180.55102748253904,336.9341721790129,137.04230583616706,66.1463101573422,0.4844371098217549,-61.72772,0.5913537776318627
window_1_9,180.9115447398757,337.5185786760711,155.3327233077681,61.55018975380937,0.5440671075526725,-35.28273,0.5323576917922919
window_1_10,180.89278329088498,341.63024223294514,217.24112900120798,62.66015632344965,0.5936470583761277,22.02376,0.5867409471119222
window_1_11,124.45887343850012,235.24360485971553,161.65820456094514,57.617068526746145,0.39885679451330913,17.54166,0.4968001056127469
window_1_12,100.56008717881996,211.96709216571813,126.51763281637182,48.219998670162425,0.4239961210756838,-337.4725,0.4615138651777951
window_1_13,138.2443650524866,278.5017005466625,142.78563608325894,47.716930964050775,0.512260871809582,-97.12982,0.39753188029711106
window_1_14,202.0739754743783,369.50002208816295,127.09455692332378,60.198435664728315,0.5559735918073017,-253.74235,0.5254700758547084
window_10_0,119.57090105071745,211.72182807802517,835.2743125973819,55.50593041089988,0.5239244333912257,488.18983,0.42337454562176036
window_10_1,121.79011308664091,243.50332408947733,147.428900248077,50.197225920203415,0.6378833026936678,146.91343,0.4304100910596036
window_10_2,149.9834764023774,276.1474248358582,184.63092838199836,59.24136425699979,0.5528010086728293,-102.48636,0.49486883488434014
window_10_3,164.7570115982288,288.13568868358965,261.11307975415474,57.360946667682185,0.4519290376119529,74.93886,0.45560272153311066
window_10_4,159.67429137552298,295.31041554512484,248.45583138064526,67.51884524586227,0.5994795121289975,235.06913,0.6160679451567985
window_10_5,128.39618240851752,234.0117476891904,227.2882428996714,56.01328964883486,0.46292321825099936,37.85046,0.44777150134694843
window_10_6,128.82151768622674,239.34135578716868,140.39765356451392,56.59644208228866,0.45569610098106567,114.88054,0.47761955789734883
window_10_7,136.38052047871713,253.9711884826702,159.4070554663843,52.5673917563203,0.48227008869186055,16.97793,0.4003820832904809
window_10_8,156.3058041672725,286.9124565503543,157.15554067114383,64.48359081340924,0.44123084905867527,-56.2311,0.5566959279367325
window_10_9,155.53528600140493,284.44244265340797,192.15493132123578,59.73333322408285,0.5058820888485754,-31.32988,0.4943145078425637
window_10_10,155.92300826432822,288.0000521153279,157.48004747959794,61.10638910590585,0.5506063469231637,18.48749,0.5517208508767232
